react_id,modelName,numberBiomassReactions,use,reactionName
BIOMASS_Ec_iJO1366_core_53p95M,iLF82_1304,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ecoli_TM,iLJ478,1,X,Biomass Thermotoga - values taken from iJR904
BIOMASS_SC5_notrace,iMM904,1,X,Biomass SC5 notrace
BIOMASS_SC4_bal,iND750,1,X,Biomass SC4 bal
BIOMASS_Mtb_9_60atp,iNJ661,1,X,Biomass Mtb 9 60atp
BIOMASS_Ec_iJO1366_WT_53p95M,iNRG857_1313,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iNRG857_1313,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_25C,iPC815,2,,25C biomass
BIOMASS_37C,iPC815,2,X,37C biomass
BIOMASS_Chlamy_auto,iRC1080,3,,Biomass (autotrophic)
BIOMASS_Chlamy_mixo,iRC1080,3,,Biomass (mixotrophic)
BIOMASS_Chlamy_hetero,iRC1080,3,X,Biomass (heterotrophic)
BIOMASS_Ec_iJO1366_WT_53p95M,iS_1188,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iS_1188,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_SA_8a,iSB619,1,X,SA biomass 8 without ions
BIOMASS_Ec_iJO1366_WT_53p95M,iSbBS512_1146,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iSbBS512_1146,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iSBO_1134,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iSBO_1134,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iSDY_1059,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iSDY_1059,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iSF_1195,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iSF_1195,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iSFV_1184,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iSFV_1184,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iSFxv_1172,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iSFxv_1172,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iSSON_1240,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iSSON_1240,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iUMN146_1321,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iUMN146_1321,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iUMNK88_1353,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iUMNK88_1353,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iUTI89_1310,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iUTI89_1310,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iWFL_1372,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iWFL_1372,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iY75_1357,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iY75_1357,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_,iYL1228,1,X,Biomass
BIOMASS_BS_10,iYO844,1,X,B subtilis biomass  demand
BIOMASS_Ec_iJO1366_WT_53p95M,iZ_1308,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iZ_1308,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iAF1260_core_59p81M,STM_v1_0,3,X,E. coli biomass objective function (iAF1260) - core - with 59.81 GAM estimate
BIOMASS_iRR1083,STM_v1_0,3,,Biomass equation from http://www.biomedcentral.com/1752-0509/3/38
BIOMASS_iRR1083_metals,STM_v1_0,3,,Biomass equation from http://www.biomedcentral.com/1752-0509/3/38 including metals from iAF1260 biomass function
Biomass,iSM199,1,X,biomass reaction
