react_id,modelName,numberBiomassReactions,use,reactionName
BIOMASS_Ec_iJO1366_WT_53p95M,iECUMN_1333,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iECUMN_1333,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iECW_1372,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iECW_1372,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS__2_iEK1008,iEK1008,1,X,
BIOMASS_Ec_iJO1366_WT_53p95M,iEKO11_1354,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iEKO11_1354,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iETEC_1333,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iETEC_1333,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iG2583_1286,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iG2583_1286,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Cl_DSM_WT_46p666M1,iHN637,1,X,Clostridium ljungdahlii biomass objective function (iAF1xxx) - WT - with 46.666 GAM estimate
BIOMASS_t_cruzi,iIS312,1,X,
BIOMASS_t_cruzi,iIS312_Amastigote,1,X,
BIOMASS_t_cruzi,iIS312_Epimastigote,2,X,
BIOMASS_trypo,iIS312_Epimastigote,2,,
BIOMASS_t_cruzi,iIS312_Trypomastigote,1,X,
BIOMASS_HP_published,iIT341,1,X,BiomassHP published
BIOMASS_PIGMENTS,iJB785,9,,Biomass: pigments and xanthophylls
BIOMASS__1,iJB785,9,X,Biomass objective function
BIOMASS_DNA,iJB785,9,,Biomass: DNA
BIOMASS_CELL_WALL,iJB785,9,,Biomass: Cell wall (LPS and peptidoglycan)
BIOMASS_COFACTORS_iJB785,iJB785,9,,Biomass: cofactor pool
BIOMASS_MEM_LIPIDS,iJB785,9,,BioLip
BIOMASS_PROTEIN_iJB785,iJB785,9,,Biomass: protein
BIOMASS_RNA,iJB785,9,,Biomass: RNA
BIOMASS_CARB_iJB785,iJB785,9,,Biomass: carbohydrates (storage and misc.)
BIOMASS_KT2440_Core2,iJN1463,2,,Biomass P putida KT2440  aa DNA RNA ATP murein FA ions
BIOMASS_KT2440_WT3,iJN1463,2,X,Biomass P putida KT2440  aa DNA RNA ATP murein FA ions soluble
BIOMASS_Ec_SynAuto_iJN678,iJN678,3,,Autotrophic Biomass Ecuation
BIOMASS_Ec_SynMixo_iJN678,iJN678,3,,Mixotrophic Biomass Ecuation
BIOMASS_Ec_SynHetero_iJN678,iJN678,3,X,Heterotrophic Biomass Ecuation
BIOMASS_KT_TEMP,iJN746,1,X,BiomassKT TEMP
BIOMASS_Ec_iJO1366_WT_53p95M,iJO1366,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iJO1366,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ecoli,iJR904,1,X,BiomassEcoli
BIOMASS_Ec_iJO1366_WT_53p95M,iLF82_1304,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iLF82_1304,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ecoli_TM,iLJ478,1,X,Biomass Thermotoga - values taken from iJR904
BIOMASS_Ec_iML1515_core_75p37M,iML1515,2,,E. coli biomass objective function (iML1515) - core - with 75.37 GAM estimate
BIOMASS_Ec_iML1515_WT_75p37M,iML1515,2,X,E. coli biomass objective function (iML1515) - WT - with 75.37 GAM estimate
BIOMASS_SC5_notrace,iMM904,1,X,Biomass SC5 notrace
BIOMASS_SC4_bal,iND750,1,X,Biomass SC4 bal
BIOMASS_LLA,iNF517,2,X,Biomass equation LLA specific
PROTS_LLA_v3_iNF517,iNF517,2,,Protein synthesis LLA for lactis v3
BIOMASS_Mtb_9_60atp_iNJ661,iNJ661,1,X,Biomass Mtb 9 60atp
BIOMASS_Ec_iJO1366_WT_53p95M,iNRG857_1313,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iNRG857_1313,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_25C,iPC815,2,X,25C biomass
BIOMASS_37C,iPC815,2,,37C biomass
BIOMASS_Chlamy_auto_iRC1080,iRC1080,3,,Biomass (autotrophic)
BIOMASS_Chlamy_mixo_iRC1080,iRC1080,3,,Biomass (mixotrophic)
BIOMASS_Chlamy_hetero_iRC1080,iRC1080,3,X,Biomass (heterotrophic)
BIOMASS_Ec_iJO1366_WT_53p95M,iS_1188,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iS_1188,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_SA_8a,iSB619,1,X,SA biomass 8 without ions
BIOMASS_Ec_iJO1366_WT_53p95M,iSbBS512_1146,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iSbBS512_1146,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iSBO_1134,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iSBO_1134,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iSDY_1059,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iSDY_1059,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iSF_1195,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iSF_1195,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iSFV_1184,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iSFV_1184,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iSFxv_1172,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iSFxv_1172,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iSSON_1240,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iSSON_1240,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_SynAuto_1_iSynCJ816,iSynCJ816,3,,Autotrophic Biomass Growth
BIOMASS_Ec_SynMixo_1_iSynCJ816,iSynCJ816,3,,Mixotrophic Biomass Growth
BIOMASS_Ec_SynHetero_1_iSynCJ816,iSynCJ816,3,X,Heterotrophic Biomass Growth
BIOMASS_Ec_iJO1366_WT_53p95M,iUMN146_1321,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iUMN146_1321,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iUMNK88_1353,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iUMNK88_1353,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iUTI89_1310,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iUTI89_1310,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iWFL_1372,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iWFL_1372,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_WT_53p95M,iY75_1357,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iY75_1357,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS__iYL1228,iYL1228,1,X,Biomass
BIOMASS_BS_10,iYO844,1,X,B subtilis biomass  demand
BIOMASS_iRR1083_1_iYS1720,iYS1720,4,,Biomass equation from http://www.biomedcentral.com/1752-0509/3/38
BIOMASS_iRR1083_metals_1_iYS1720,iYS1720,4,,Biomass equation from http://www.biomedcentral.com/1752-0509/3/38 including metals from iAF1260 biomass function
BIOMASS_invivo,iYS1720,4,,Biomass equation adapted to in vivo conditions
BIOMASS_Ec_iAF1260_core_59p81M,iYS1720,4,X,E. coli biomass objective function (iAF1260) - core - with 59.81 GAM estimate
BIOMASS_CELLWALL,iYS854,9,,
BIOMASS_DNA_1,iYS854,9,,
BIOMASS_LIPIDS_wild_type,iYS854,9,,
BIOMASS_MeasuredSOLUTES_CDMG,iYS854,9,,
BIOMASS_OtherSOLUTES_wild_type,iYS854,9,,
BIOMASS_PROTEIN_1,iYS854,9,,
BIOMASS_RNA_1,iYS854,9,,
BIOMASS_iYS_wild_type,iYS854,9,X,
BIOMASS_WT_lumped,iYS854,9,,
BIOMASS_Ec_iJO1366_WT_53p95M,iZ_1308,2,X,E. coli biomass objective function (iJO1366) - WT - with 53.95 GAM estimate
BIOMASS_Ec_iJO1366_core_53p95M,iZ_1308,2,,E. coli biomass objective function (iJO1366) - core - with 53.95 GAM estimate
BIOMASS_Ec_iAF1260_core_59p81M,STM_v1_0,3,X,E. coli biomass objective function (iAF1260) - core - with 59.81 GAM estimate
BIOMASS_iRR1083_metals,STM_v1_0,3,,Biomass equation from http://www.biomedcentral.com/1752-0509/3/38 including metals from iAF1260 biomass function
BIOMASS_iRR1083,STM_v1_0,3,,Biomass equation from http://www.biomedcentral.com/1752-0509/3/38
Biomass_iSM199,iSM199,1,X,biomass reaction
